codeDepartement,Libellé département,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 9,"0,01%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 9,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 10,10
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 10,LDIV
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 10,PARTI PIRATE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 10,PARTI PIRATE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 10,568
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 10,"0,06%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 10,"0,11%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 10,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 11,11
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 11,LENS
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 11,BESOIN D'EUROPE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 11,BESOIN D'EUROPE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 11,99753
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 11,"10,13%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 11,"18,45%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 11,13
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 12,12
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 12,LDIV
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 12,PACE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 12,"PACE - PARTI DES CITOYENS EUROPÉENS, POUR L'ARMÉE EUROPÉENNE, POUR L'EUROPE SOCIALE , POUR LA PLANÈTE !"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 12,249
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 12,"0,03%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 12,"0,05%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 12,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 13,13
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 13,LECO
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 13,ÉQUINOXE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 13,ÉQUINOXE : ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 13,2113
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 13,"0,21%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 13,"0,39%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 13,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 14,14
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 14,LECO
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 14,2619
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 14,"0,27%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 14,"0,48%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 14,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 15,15
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 15,LDIV
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 15,LISTE ASSELINEAU-FREXIT
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 15,"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D'ACHAT ET POUR LA PAIX"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 15,5696
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 15,"0,58%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 15,"1,05%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 15,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 16,16
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 16,LEXG
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 16,PAIX ET DECROISSANCE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 16,PAIX ET DECROISSANCE
