id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Prénom candidat 7,Antò
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Sexe candidat 7,MASCULIN
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Sexe candidat 7,MASCULIN
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Voix 7,370.0
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Voix 7,2277.0
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/inscrits 7,"0,60%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/inscrits 7,"3,35%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/exprimés 7,"0,98%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/exprimés 7,"5,13%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Elu 7,
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Elu 7,
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Numéro de panneau 8,8.0
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Numéro de panneau 8,8.0
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nuance candidat 8,RN
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nuance candidat 8,VEC
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nom candidat 8,MARCHAL
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nom candidat 8,SANCHEZ
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Prénom candidat 8,Jean-Michel
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Prénom candidat 8,Hélène
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Sexe candidat 8,MASCULIN
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Sexe candidat 8,FEMININ
